xlsx_row,source_no,hunt_code_cell,hunt_code_count,mapped_code_count,geojson_code_count,row_mapping_status,boundary_ids,member_boundary_ids,geometry_statuses,boundary_geojson_paths,dwr_boundary_links,species,sex,hunt_name,weapon,organization,permits
228,227,PB5002|PB5027,2,2,2,multi_candidate_all_mapped,15,,mapped,processed_data/boundaries/PB5002.geojson|processed_data/boundaries/PB5027.geojson,,Pronghorn,Buck,"Book Cliffs, South",Any Legal Weapon,MDF,1
229,228,PB5003|PB5028,2,2,2,multi_candidate_all_mapped,24,,mapped,processed_data/boundaries/PB5003.geojson|processed_data/boundaries/PB5028.geojson,,Pronghorn,Buck,"Box Elder, Promontory",Any Legal Weapon,MDF,1
230,229,PB5004|PB5029,2,2,2,multi_candidate_all_mapped,25,,mapped,processed_data/boundaries/PB5004.geojson|processed_data/boundaries/PB5029.geojson,,Pronghorn,Buck,"Box Elder, Puddle Valley",Any Legal Weapon,SFW,1
231,230,PB5005|PB5030|PB5080,3,3,3,multi_candidate_all_mapped,27,,mapped,processed_data/boundaries/PB5005.geojson|processed_data/boundaries/PB5030.geojson|processed_data/boundaries/PB5080.geojson,,Pronghorn,Buck,"Box Elder, Snowville",Any Legal Weapon,SFW,1
232,231,PB5005|PB5030|PB5080,3,3,3,multi_candidate_all_mapped,27,,mapped,processed_data/boundaries/PB5005.geojson|processed_data/boundaries/PB5030.geojson|processed_data/boundaries/PB5080.geojson,,Pronghorn,Buck,"Box Elder, Snowville",Any Legal Weapon,SFW,1
233,232,PB5006|PB5031|PB5079,3,3,3,multi_candidate_all_mapped,755,,mapped,processed_data/boundaries/PB5006.geojson|processed_data/boundaries/PB5031.geojson|processed_data/boundaries/PB5079.geojson,,Pronghorn,Buck,"Box Elder, West",Any Legal Weapon,UHA,1
234,233,PB5006|PB5031|PB5079,3,3,3,multi_candidate_all_mapped,755,,mapped,processed_data/boundaries/PB5006.geojson|processed_data/boundaries/PB5031.geojson|processed_data/boundaries/PB5079.geojson,,Pronghorn,Buck,"Box Elder, West",Any Legal Weapon,SFW,1
235,234,PB5008|PB5033|PB5065,3,3,3,multi_candidate_all_mapped,81,,mapped,processed_data/boundaries/PB5008.geojson|processed_data/boundaries/PB5033.geojson|processed_data/boundaries/PB5065.geojson,,Pronghorn,Buck,"Fillmore, Oak Creek South",Any Legal Weapon,NWTF,1
236,235,PB5008|PB5033|PB5065,3,3,3,multi_candidate_all_mapped,81,,mapped,processed_data/boundaries/PB5008.geojson|processed_data/boundaries/PB5033.geojson|processed_data/boundaries/PB5065.geojson,,Pronghorn,Buck,"Fillmore, Oak Creek South",Any Legal Weapon,SFW,1
237,236,PB5008|PB5033|PB5065,3,3,3,multi_candidate_all_mapped,81,,mapped,processed_data/boundaries/PB5008.geojson|processed_data/boundaries/PB5033.geojson|processed_data/boundaries/PB5065.geojson,,Pronghorn,Buck,"Fillmore, Oak Creek South",Any Legal Weapon,MDF,1
238,237,PB5009|PB5035,2,2,2,multi_candidate_all_mapped,688,,mapped,processed_data/boundaries/PB5009.geojson|processed_data/boundaries/PB5035.geojson,,Pronghorn,Buck,"La Sal, Potash/South Cisco",Any Legal Weapon,UHA,1
239,238,PB5331|PB5332,2,2,2,multi_candidate_all_mapped,453,,mapped,processed_data/boundaries/PB5331.geojson|processed_data/boundaries/PB5332.geojson,,Pronghorn,Buck,Mt Dutton/Paunsaugunt,Any Legal Weapon,MDF,1
240,239,PB5331|PB5332,2,2,2,multi_candidate_all_mapped,453,,mapped,processed_data/boundaries/PB5331.geojson|processed_data/boundaries/PB5332.geojson,,Pronghorn,Buck,Mt Dutton/Paunsaugunt,Any Legal Weapon,SFW,1
241,240,PB5011|PB5037|PB5059,3,3,3,multi_candidate_all_mapped,129,,mapped,processed_data/boundaries/PB5011.geojson|processed_data/boundaries/PB5037.geojson|processed_data/boundaries/PB5059.geojson,,Pronghorn,Buck,"Nine Mile, Anthro-Myton Bench",Any Legal Weapon,NWTF,1
242,241,PB5011|PB5037|PB5059,3,3,3,multi_candidate_all_mapped,129,,mapped,processed_data/boundaries/PB5011.geojson|processed_data/boundaries/PB5037.geojson|processed_data/boundaries/PB5059.geojson,,Pronghorn,Buck,"Nine Mile, Anthro-Myton Bench",Any Legal Weapon,WCF,1
243,242,PB5011|PB5037|PB5059,3,3,3,multi_candidate_all_mapped,129,,mapped,processed_data/boundaries/PB5011.geojson|processed_data/boundaries/PB5037.geojson|processed_data/boundaries/PB5059.geojson,,Pronghorn,Buck,"Nine Mile, Anthro-Myton Bench",Any Legal Weapon,MDF,1
244,243,PB5011|PB5037|PB5059,3,3,3,multi_candidate_all_mapped,129,,mapped,processed_data/boundaries/PB5011.geojson|processed_data/boundaries/PB5037.geojson|processed_data/boundaries/PB5059.geojson,,Pronghorn,Buck,"Nine Mile, Anthro-Myton Bench",Any Legal Weapon,NWTF,1
