source_file,page_number,hunt_code,hunt_name,year,residency,points,eligible_applicants,bonus_permits,regular_permits,total_permits,success_ratio
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,8,7,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,7,22,0,1,1,1 in 22.0
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,7,3,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,6,14,0,2,2,1 in 7.0
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,6,5,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,5,29,0,2,2,1 in 14.5
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,5,7,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,4,33,0,2,2,1 in 16.5
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,4,8,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,3,45,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,3,9,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,2,40,0,2,2,1 in 20.0
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,2,5,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,1,53,0,1,1,1 in 53.0
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,1,14,0,0,0,N/A
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Resident,0,51,0,1,1,1 in 51.0
25_bg-odds.pdf,337,EB3198,"Limited-entry Alw (rifle) Bull Elk - Mid -Southwest Desert, South -Any Legal Weapon",2025,Nonresident,0,11,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Resident,32,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Nonresident,32,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Resident,31,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Nonresident,31,0,0,0,0,N/A
