hunt_code,hunt_name,species,draw_results_year,model_target_year,res_header,nr_header,total_header,res_display_header,nr_display_header,total_display_header,res_value,nr_value,total_value,source_value,status,recommended_2026_res,recommended_2026_nr,recommended_2026_total,recommended_2026_winner_source,recommended_2026_alignment
DA1030,"Nine Mile, Price River Valley",Deer,2024,2025,permits_2024_res,permits_2024_nr,permits_2024_total,RES_PERMITS_2024=2025_MODEL,N.R_PERMITS_2024=2025_MODEL,TOTAL_PERMITS_2024=2025_MODEL,9,0,9,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_UPLOADED_COMBINED_long,CLEAN,,,,,
DA1030,"Nine Mile, Price River Valley",Deer,2025,2026,permits_2025_res,permits_2025_nr,permits_2025_total,RES_PERMITS_2025=2026_MODEL,N.R_PERMITS_2025=2026_MODEL,TOTAL_PERMITS_2025=2026_MODEL,12,0,12,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,CLEAN,,,,,
DA1030,"Nine Mile, Price River Valley",Deer,2026,2027,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,RES_PERMITS_2026=2027_MODEL,N.R_PERMITS_2026=2027_MODEL,TOTAL_PERMITS_2026=2027_MODEL,,,25,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,TOTAL_ONLY,,,25,HANUMBER,DATABASE_MATCHES_RECOMMENDED
DA1046,"Nine Mile, Price River Valley",Deer,2024,2025,permits_2024_res,permits_2024_nr,permits_2024_total,RES_PERMITS_2024=2025_MODEL,N.R_PERMITS_2024=2025_MODEL,TOTAL_PERMITS_2024=2025_MODEL,14,0,14,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_UPLOADED_COMBINED_long,CLEAN,,,,,
DA1046,"Nine Mile, Price River Valley",Deer,2025,2026,permits_2025_res,permits_2025_nr,permits_2025_total,RES_PERMITS_2025=2026_MODEL,N.R_PERMITS_2025=2026_MODEL,TOTAL_PERMITS_2025=2026_MODEL,10,0,10,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,CLEAN,,,,,
DA1046,"Nine Mile, Price River Valley",Deer,2026,2027,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,RES_PERMITS_2026=2027_MODEL,N.R_PERMITS_2026=2027_MODEL,TOTAL_PERMITS_2026=2027_MODEL,,,25,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,TOTAL_ONLY,,,25,HANUMBER,DATABASE_MATCHES_RECOMMENDED
BR7102,Book Cliffs Little Creek Roadless,Black Bear,2024,2025,permits_2024_res,permits_2024_nr,permits_2024_total,RES_PERMITS_2024=2025_MODEL,N.R_PERMITS_2024=2025_MODEL,TOTAL_PERMITS_2024=2025_MODEL,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_UPLOADED_COMBINED_long,CLEAN,,,,,
BR7102,Book Cliffs Little Creek Roadless,Black Bear,2025,2026,permits_2025_res,permits_2025_nr,permits_2025_total,RES_PERMITS_2025=2026_MODEL,N.R_PERMITS_2025=2026_MODEL,TOTAL_PERMITS_2025=2026_MODEL,2,0,2,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,CLEAN,,,,,
BR7102,Book Cliffs Little Creek Roadless,Black Bear,2026,2027,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,RES_PERMITS_2026=2027_MODEL,N.R_PERMITS_2026=2027_MODEL,TOTAL_PERMITS_2026=2027_MODEL,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,CLEAN,5,0,5,HANUMBER,DATABASE_MATCHES_RECOMMENDED
BR7224,Book Cliffs Little Creek Roadless,Black Bear,2024,2025,permits_2024_res,permits_2024_nr,permits_2024_total,RES_PERMITS_2024=2025_MODEL,N.R_PERMITS_2024=2025_MODEL,TOTAL_PERMITS_2024=2025_MODEL,2,1,3,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_UPLOADED_COMBINED_long,CLEAN,,,,,
BR7224,Book Cliffs Little Creek Roadless,Black Bear,2025,2026,permits_2025_res,permits_2025_nr,permits_2025_total,RES_PERMITS_2025=2026_MODEL,N.R_PERMITS_2025=2026_MODEL,TOTAL_PERMITS_2025=2026_MODEL,2,1,3,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,CLEAN,,,,,
BR7224,Book Cliffs Little Creek Roadless,Black Bear,2026,2027,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,RES_PERMITS_2026=2027_MODEL,N.R_PERMITS_2026=2027_MODEL,TOTAL_PERMITS_2026=2027_MODEL,14,1,15,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,CLEAN,14,1,15,HANUMBER,DATABASE_MATCHES_RECOMMENDED
BR7225,Book Cliffs Little Creek Roadless,Black Bear,2024,2025,permits_2024_res,permits_2024_nr,permits_2024_total,RES_PERMITS_2024=2025_MODEL,N.R_PERMITS_2024=2025_MODEL,TOTAL_PERMITS_2024=2025_MODEL,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_UPLOADED_COMBINED_long,CLEAN,,,,,
BR7225,Book Cliffs Little Creek Roadless,Black Bear,2025,2026,permits_2025_res,permits_2025_nr,permits_2025_total,RES_PERMITS_2025=2026_MODEL,N.R_PERMITS_2025=2026_MODEL,TOTAL_PERMITS_2025=2026_MODEL,2,0,2,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,CLEAN,,,,,
BR7225,Book Cliffs Little Creek Roadless,Black Bear,2026,2027,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,RES_PERMITS_2026=2027_MODEL,N.R_PERMITS_2026=2027_MODEL,TOTAL_PERMITS_2026=2027_MODEL,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,CLEAN,5,0,5,HANUMBER,DATABASE_MATCHES_RECOMMENDED
BR7301,Book Cliffs Little Creek Roadless,Black Bear,2024,2025,permits_2024_res,permits_2024_nr,permits_2024_total,RES_PERMITS_2024=2025_MODEL,N.R_PERMITS_2024=2025_MODEL,TOTAL_PERMITS_2024=2025_MODEL,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_UPLOADED_COMBINED_long,CLEAN,,,,,
BR7301,Book Cliffs Little Creek Roadless,Black Bear,2025,2026,permits_2025_res,permits_2025_nr,permits_2025_total,RES_PERMITS_2025=2026_MODEL,N.R_PERMITS_2025=2026_MODEL,TOTAL_PERMITS_2025=2026_MODEL,1,0,1,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,CLEAN,,,,,
BR7301,Book Cliffs Little Creek Roadless,Black Bear,2026,2027,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,RES_PERMITS_2026=2027_MODEL,N.R_PERMITS_2026=2027_MODEL,TOTAL_PERMITS_2026=2027_MODEL,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,CLEAN,5,0,5,HANUMBER,DATABASE_MATCHES_RECOMMENDED
EB3002,"Book Cliffs, Little Creek Roadless",Elk,2024,2025,permits_2024_res,permits_2024_nr,permits_2024_total,RES_PERMITS_2024=2025_MODEL,N.R_PERMITS_2024=2025_MODEL,TOTAL_PERMITS_2024=2025_MODEL,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,CLEAN,,,,,
EB3002,"Book Cliffs, Little Creek Roadless",Elk,2025,2026,permits_2025_res,permits_2025_nr,permits_2025_total,RES_PERMITS_2025=2026_MODEL,N.R_PERMITS_2025=2026_MODEL,TOTAL_PERMITS_2025=2026_MODEL,1,0,1,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,CLEAN,,,,,
EB3002,"Book Cliffs, Little Creek Roadless",Elk,2026,2027,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,RES_PERMITS_2026=2027_MODEL,N.R_PERMITS_2026=2027_MODEL,TOTAL_PERMITS_2026=2027_MODEL,4,0,4,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,CLEAN,4,0,4,HANUMBER,DATABASE_MATCHES_RECOMMENDED
EB3028,"Book Cliffs, Little Creek Roadless",Elk,2024,2025,permits_2024_res,permits_2024_nr,permits_2024_total,RES_PERMITS_2024=2025_MODEL,N.R_PERMITS_2024=2025_MODEL,TOTAL_PERMITS_2024=2025_MODEL,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,CLEAN,,,,,
EB3028,"Book Cliffs, Little Creek Roadless",Elk,2025,2026,permits_2025_res,permits_2025_nr,permits_2025_total,RES_PERMITS_2025=2026_MODEL,N.R_PERMITS_2025=2026_MODEL,TOTAL_PERMITS_2025=2026_MODEL,1,0,1,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,CLEAN,,,,,
EB3028,"Book Cliffs, Little Creek Roadless",Elk,2026,2027,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,RES_PERMITS_2026=2027_MODEL,N.R_PERMITS_2026=2027_MODEL,TOTAL_PERMITS_2026=2027_MODEL,3,0,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,CLEAN,3,0,3,HANUMBER,DATABASE_MATCHES_RECOMMENDED
EB3079,"Book Cliffs, Little Creek Roadless",Elk,2024,2025,permits_2024_res,permits_2024_nr,permits_2024_total,RES_PERMITS_2024=2025_MODEL,N.R_PERMITS_2024=2025_MODEL,TOTAL_PERMITS_2024=2025_MODEL,1,0,1,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,CLEAN,,,,,
