hunt_code,prefix,present_report_year_2020,source_count_report_year_2020,present_report_year_2021,source_count_report_year_2021,present_report_year_2022,source_count_report_year_2022,present_report_year_2023,source_count_report_year_2023,present_report_year_2024,source_count_report_year_2024,present_report_year_2025,source_count_report_year_2025,present_report_year_2026,source_count_report_year_2026
DA1019,DA,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DA1026,DA,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0
DA1027,DA,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1028,DA,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0
DA1029,DA,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
DA1030,DA,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1031,DA,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1033,DA,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1036,DA,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DA1039,DA,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0
DA1040,DA,YES,2,YES,1,YES,2,NO,0,NO,0,NO,0,NO,0
DA1041,DA,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1042,DA,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1043,DA,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0
DA1044,DA,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0,NO,0
DA1045,DA,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1046,DA,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1047,DA,NO,0,NO,0,YES,2,YES,2,YES,2,YES,2,NO,0
DA1048,DA,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,NO,0
DA1049,DA,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,NO,0
DA1050,DA,NO,0,NO,0,NO,0,NO,0,YES,2,YES,2,NO,0
DB0007,DB,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,YES,1
DB0008,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DB1000,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1001,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1002,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1003,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1004,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1005,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1006,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1007,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1008,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1009,DB,YES,2,NO,0,NO,0,NO,0,NO,0,YES,2,YES,1
DB1010,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1011,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1012,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1013,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1014,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1015,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1016,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1017,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1018,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
