draw_results_year,permit_draw_year,report_year,model_year,hunt_code,prefix,source_appearance_count,source_file_count,source_files,source_report_families,source_pages,source_hunt_titles,combined_total_permits_values,current_database_match_statuses,name_match_statuses,totals_parse_statuses,lifecycle_classes,normalization_notes,duplicate_source_files,conflicting_source_names,conflicting_total_permits,crosscheck_status
2025,2025,2025,2026,BR7113,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,41,Paunsaugunt - Any Legal Weapon,3,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7114,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,42,Boulder/kaiparowits - Any Legal Weapon,14,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7116,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,44,San Juan - Any Legal Weapon,24,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7118,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,46,Yellowstone - Any Legal Weapon,5,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7121,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,49,Cache/ogden - Any Legal Weapon,4,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7124,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,52,"Fillmore, Pahvant - Any Legal Weapon",2,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7125,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,53,Monroe - Any Legal Weapon,1,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7200,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,54,Beaver -An y Legal Weapon,10,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7203,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,56,Manti North - Any Legal Weapon,11,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7205,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,58,Nebo - Any Legal Weapon,5,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7207,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,59,"Fillmore, Pahvant - Any Legal Weapon",1,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7208,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,60,La Sal - Any Legal Weapon,6,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,TERMINAL_DROPOFF_CANDIDATE,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7210,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,61,Mt Dutton - Any Legal Weapon,1,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7211,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,62,Nine Mile - Any Legal Weapon,18,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7213,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,64,Panguitch Lake/zion - Any Legal Weapon,9,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7214,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,65,Paunsaugunt - Any Legal Weapon,4,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7215,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,66,Boulder/kaiparowits - Any Legal Weapon,10,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7217,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,68,San Juan - Any Legal Weapon,6,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7219,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,70,Yellowstone - Any Legal Weapon,4,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7228,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,75,Cache/ogden - Any Legal Weapon,1,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR7237,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,77,Monroe - Any Legal Weapon,1,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,TERMINAL_DROPOFF_CANDIDATE,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
