hunt_code,field_name,feeder_source_file,feeder_value,target_value,comparison_status,notes
BI6504,p_draw_mean,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0.000000|0.000010|0.000024|0.000031|0.000041|0.000047|0.000051|0.000061|...(+51 more),0|0.0001|0.0002|0.0003|0.0004|0.0005|0.0006|0.0056|...(+6 more),MISMATCH,Feeder and target values diverge with no overlap.
BI6504,p_draw_p10,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0.000000|0.017304|0.216963|0.444516|0.780944|0.947500,0|0.0173|0.217|0.4445|0.7809|0.9475,MISMATCH,Feeder and target values diverge with no overlap.
BI6504,p_draw_p90,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,0.050000|0.050010|0.050024|0.050031|0.050041|0.050047|0.050051|0.050061|...(+51 more),0.05|0.0501|0.0502|0.0503|0.0504|0.0505|0.0506|0.0556|...(+6 more),MISMATCH,Feeder and target values diverge with no overlap.
BI6504,point_pool_zone,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,max_pool_cutoff_mixed|max_pool_guaranteed|random_pool,max_pool_cutoff_mixed|max_pool_guaranteed|random_pool,MATCH,Feeder values preserved in target set.
BI6504,guaranteed_at_2026,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,28|30,28|30,MATCH,Feeder values preserved in target set.
BI6504,permits_2026_res,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,5,5,MATCH,Feeder values preserved in target set.
BI6504,permits_2026_nr,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,2,2,MATCH,Feeder values preserved in target set.
BI6504,permits_2026_total,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,7,7,MATCH,Feeder values preserved in target set.
BI6504,harvest_success_pct,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,100,100,MATCH,Feeder values preserved in target set.
BI6504,average_days_hunted,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/hunt_unit_reference_linked.csv,4.5,4.5,MATCH,Feeder values preserved in target set.
BI6504,average_harvest_age,C:/Users/tyler/Desktop/GitHub/HUNT-BUILDER/processed_data/point_ladder_view.csv,,,NOT_PRESENT_IN_FEEDER,No feeder value for this hunt_code/field.
