hunt_code,prefix,present_2018,source_count_2018,present_2019,source_count_2019,present_2020,source_count_2020,present_2021,source_count_2021,present_2022,source_count_2022,present_2023,source_count_2023,present_2024,source_count_2024,present_2025,source_count_2025,present_2026,source_count_2026
DA1000,DA,NO,0,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
DA1001,DA,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1002,DA,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1003,DA,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1004,DA,NO,0,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
DA1005,DA,NO,0,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DA1007,DA,NO,0,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
DA1009,DA,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1010,DA,NO,0,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DA1011,DA,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1012,DA,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1013,DA,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1016,DA,NO,0,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DA1017,DA,NO,0,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
DA1018,DA,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1019,DA,NO,0,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DA1020,DA,NO,0,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DA1021,DA,NO,0,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DA1022,DA,NO,0,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DA1023,DA,NO,0,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DA1024,DA,NO,0,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DA1025,DA,NO,0,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DA1026,DA,NO,0,YES,2,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0
DA1027,DA,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1028,DA,NO,0,YES,2,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0
DA1029,DA,NO,0,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
DA1030,DA,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1031,DA,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1032,DA,NO,0,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DA1033,DA,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1035,DA,NO,0,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DA1036,DA,NO,0,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DA1039,DA,NO,0,YES,2,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0
DA1040,DA,NO,0,YES,1,YES,2,YES,1,YES,2,NO,0,NO,0,NO,0,NO,0
DA1041,DA,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1042,DA,NO,0,YES,2,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1043,DA,NO,0,YES,2,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0
DA1044,DA,NO,0,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0,NO,0
DA1045,DA,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1046,DA,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DA1047,DA,NO,0,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,YES,2,NO,0
DA1048,DA,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,NO,0
DA1049,DA,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,NO,0
DA1050,DA,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,2,NO,0
DB0007,DB,YES,1,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0,YES,1
DB0008,DB,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DB1000,DB,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1001,DB,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1002,DB,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1003,DB,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1004,DB,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1005,DB,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1006,DB,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1007,DB,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1008,DB,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1009,DB,NO,0,YES,1,YES,2,NO,0,NO,0,NO,0,NO,0,YES,2,YES,1
DB1010,DB,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1011,DB,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1012,DB,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1013,DB,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1014,DB,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1015,DB,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1016,DB,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1017,DB,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1018,DB,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1019,DB,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1020,DB,NO,0,YES,1,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
