source_family,source_file,source_row_count,hunt_code,source_hunt_name,species,sex_type,weapon,hunt_type,hunt_class,source_res,source_nr,source_total,source_permit_shape,mapping_status,notes
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1116,"San Juan, Mancos Mesa",Deer,Buck,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",L.E.,,4,1,5,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1118,Dolores Triangle,Deer,Buck,Multiseason,conservation,SCI,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1119,Moab Valley,Deer,Buck,Any Legal Weapon,L.E.,,9,1,10,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1120,Castle Valley,Deer,Buck,Any Legal Weapon,L.E.,,13,2,15,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1121,Antelope Island,Deer,Buck,Any Legal Weapon,L.E.,Management,2,,2,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1200,Alton - Premium Buck CWMU,Deer,Buck,Any Legal Weapon,L.E.,CWMU,3,,3,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1201,Alton - Management Buck CWMU,Deer,Buck,Any Legal Weapon,L.E.,CWMU,1,,1,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1202,Antelope Creek CWMU,Deer,Buck,Any Legal Weapon,L.E.,CWMU,1,,1,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1203,Avintaquin Canyon CWMU,Deer,Buck,Any Legal Weapon,L.E.,CWMU,1,,1,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1204,Bally Watts CWMU,Deer,Buck,Any Legal Weapon,L.E.,CWMU,1,,1,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1205,Bar J Ranch CWMU,Deer,Buck,Any Legal Weapon,L.E.,CWMU,1,,1,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1206,Bear Mountain CWMU,Deer,Buck,Any Legal Weapon,L.E.,CWMU,1,,1,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1207,Bear Springs CWMU,Deer,Buck,Any Legal Weapon,L.E.,CWMU,1,,1,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1208,Blackhawk CWMU,Deer,Buck,Any Legal Weapon,L.E.,CWMU,2,,2,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1209,Blind Springs CWMU,Deer,Buck,Any Legal Weapon,L.E.,CWMU,1,,1,RES_NR_SPLIT,DIRECT_HUNT_CODE,
