hunt_code,hunt_name,species,residency,hunt_class,modeled_draw_probability,harvest_success_pct,permits_2026_total,sleeper_score,sleeper_reasons,data_limitations
EB3151,Boulder,Elk,Resident,Mature Bull,1.1,81.8,24,4,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists,
EB3152,"Southwest Desert, South",Elk,Nonresident,Mature Bull,0.1,90,29,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3152,"Southwest Desert, South",Elk,Resident,Mature Bull,0.7,90,29,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3154,Boulder,Elk,Resident,Mature Bull,0.8,89.5,21,4,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists,
EB3155,"Southwest Desert, South",Elk,Nonresident,Mature Bull,0.2,66.7,26,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3155,"Southwest Desert, South",Elk,Resident,Mature Bull,2.4,66.7,26,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3157,"Southwest Desert, South",Elk,Nonresident,Mature Bull,0,85.7,5,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3157,"Southwest Desert, South",Elk,Resident,Mature Bull,0.2,85.7,5,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3158,"Beaver, East",Elk,Resident,Mature Bull,0,20,20,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3159,"Beaver, East",Elk,Nonresident,Mature Bull,0.1,89.3,30,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3159,"Beaver, East",Elk,Resident,Mature Bull,1.1,89.3,30,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3171,"Cache, South",Elk,Resident,Mature Bull,0.4,100,12,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3173,Nebo/San Pitch Mtns,Elk,Nonresident,Mature Bull,0.1,24,32,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3173,Nebo/San Pitch Mtns,Elk,Resident,Mature Bull,0,24,32,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3174,Nebo/San Pitch Mtns,Elk,Resident,Mature Bull,0,62.5,15,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3176,Nebo/San Pitch Mtns,Elk,Nonresident,Mature Bull,0,72.2,22,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3176,Nebo/San Pitch Mtns,Elk,Resident,Mature Bull,0.4,72.2,22,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3177,Nebo/San Pitch Mtns,Elk,Nonresident,Mature Bull,0.3,81.5,38,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3177,Nebo/San Pitch Mtns,Elk,Resident,Mature Bull,0.9,81.5,38,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3178,Nebo/San Pitch Mtns,Elk,Nonresident,Mature Bull,0,75,4,4,harvest success above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3179,Nebo/San Pitch Mtns,Elk,Nonresident,Mature Bull,0.4,75,19,4,harvest success above peer median; permit count at or above peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3179,Nebo/San Pitch Mtns,Elk,Resident,Mature Bull,0.5,75,19,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3180,"Fillmore, Pahvant",Elk,Resident,Mature Bull,0,14.3,20,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3181,"Fillmore, Pahvant",Elk,Nonresident,Mature Bull,0.2,76,25,4,harvest success above peer median; permit count at or above peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3181,"Fillmore, Pahvant",Elk,Resident,Mature Bull,1.4,76,25,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3183,La Sal Mtns,Elk,Nonresident,Mature Bull,0.3,59.6,47,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3183,La Sal Mtns,Elk,Resident,Mature Bull,0,59.6,47,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3185,Monroe,Elk,Nonresident,Mature Bull,0.1,80,27,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3185,Monroe,Elk,Resident,Mature Bull,0.9,80,27,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3186,Mt Dutton,Elk,Resident,Mature Bull,0,20,15,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3187,Mt Dutton,Elk,Nonresident,Mature Bull,0.2,72,25,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3187,Mt Dutton,Elk,Resident,Mature Bull,1.3,72,25,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3188,Panguitch Lake,Elk,Resident,Mature Bull,0,60,15,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3189,Panguitch Lake,Elk,Nonresident,Mature Bull,0.2,86.4,22,4,harvest success above peer median; permit count at or above peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3189,Panguitch Lake,Elk,Resident,Mature Bull,0.8,86.4,22,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3192,Fishlake/Thousand Lakes,Elk,Nonresident,Mature Bull,0,25,15,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3192,Fishlake/Thousand Lakes,Elk,Resident,Mature Bull,0,25,15,4,permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
EB3194,San Juan Bull Elk,Elk,Nonresident,Mature Bull,0.2,88.6,37,5,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; management objective meeting/above where comparable data exists; not an obvious marquee hunt name,
