boundary_id,hunt_units_boundary_name,arcgis_hunt_count,arcgis_hunt_numbers,arcgis_boundary_names,arcgis_seasons,arcgis_boundary_name_match
463,"Wasatch Mtns, Avintaquin/Currant Creek",9,BR1000|BR1001|BR1005|BR1007|BR1018|BR7119|BR7220|BR7315|CG1036,"Black Bear - Statewide Permit|Black Bear Harvest Objective Units|Black Bear Pursuit - Nonresident|Black Bear Pursuit - Resident|Wasatch Mtns, Avintaquin/Currant Creek|Wasatch Mtns, Avintaquin/Currant Creek (bear)","Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates and take methods.|Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026|Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026|May 25 - June 28, 2026|Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026|Visit wildlife.utah.gov/bearharvest for units & closures.
You are required to complete the annual bear orientation course & carry proof while hunting bear.  Visit wildlife.utah.gov/bear for details.",True
491,South Canyon,1,DB1293,South Canyon CWMU,Contact Operator for 2026 season dates,False
526,Alton,3,DB1200|DB1201|DB1334,Alton - Cactus Buck CWMU|Alton - Management Buck CWMU|Alton - Premium Buck CWMU,Contact Operator for 2026 season dates|Contact operator for 2026 season dates,False
622,Oquirrh-Stansbury,5,CG0999|CG7504|CG7512|DB1066|DB1082,"Cougar Pursuit|Oquirrh-Stansbury|Oquirrh-Stansbury and West Desert, Tintic-Vernon Conservation",,True
624,"West Desert, Tintic",2,DB1071|DB1088,"West Desert, Tintic",,True
710,San Juan,13,BR1000|BR1001|BR1007|BR1010|BR1013|BR1016|BR7014|BR7116|BR7217|BR7227|BR7312|CG0999|CG1016,Black Bear - Statewide Permit|Black Bear Harvest Objective Units|Black Bear Pursuit - Resident|Cougar Pursuit|San Juan,"Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates and take methods.|Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026|July 18 - July 31, 2026|July 5 - 16, 2026|Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026|March 28 - May 25, 2026|May 25 - June 28, 2026|Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026|Visit wildlife.utah.gov/bearharvest for units & closures.
You are required to complete the annual bear orientation course & carry proof while hunting bear.  Visit wildlife.utah.gov/bear for details.",True
711,"Wasatch Mtns, Currant Creek-North",8,CG0015|CG0018|CG0019|CG0999|CG1000|CG7505|CG7514|CG9999,"Cougar - Statewide|Cougar - Statewide Permit|Cougar Pursuit|Statewide Conservation|Statewide Spot and Stalk|Wasatch Mtns, Currant Creek North and Wasatch Mtns,West-Strawberry Conservation|Wasatch Mtns, Currant Creek-North",,True
714,"Book Cliffs, North",5,DB0007|DB1017|DB1056|DB1075|DB1076,"Book Cliffs (North & South)|Book Cliffs, North|Buck Deer - Statewide Permit","Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027|Oct 17 2026 - Oct 25 2026|Oct 17, 2026 - Oct 25, 2026",True
729,"Pine Valley, North",6,CG0018|CG0019|CG0999|CG1000|CG1014|CG9999,"Cougar - Statewide|Cougar - Statewide Permit|Cougar Pursuit|Pine Valley, North|Statewide Conservation|Statewide Spot and Stalk",,True
730,"Pine Valley, South",6,CG0018|CG0019|CG0999|CG1000|CG1015|CG9999,"Cougar - Statewide|Cougar - Statewide Permit|Cougar Pursuit|Pine Valley, South|Statewide Conservation|Statewide Spot and Stalk",,True
740,Sand Creek,1,DB1285,Sand Creek CWMU,Contact Operator for 2026 season dates,False
