year,title,url,official_basename,download_path,http_status,content_type,size_bytes,sha256
2021,Youth Dedicated Hunter deer draw results,https://wildlife.utah.gov/pdf/bg/2021/21_youth_dh_odds.pdf,21_youth_dh_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2021__21_youth_dh_odds.pdf,200,application/pdf,342992,d09bdd2f48683313888f2e2c8a4f86d5837ca1255faf8db408978ac198d59df0
2021,Sportsman draw odds report,https://wildlife.utah.gov/pdf/bg/2021/21-22_sportsman_odds.pdf,21-22_sportsman_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2021__21-22_sportsman_odds.pdf,200,application/pdf,156728,eee029761d004686212ac7735dec6be3df7f8d2f0e299e132afd2b32ca4339fd
2020,General-season buck deer draw results,https://wildlife.utah.gov/pdf/bg/2020/20_deer_odds.pdf,20_deer_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2020__20_deer_odds.pdf,200,application/pdf,1368790,3172d5b67a5385346a28f713b90f1d37698eb2a3ca0d99bf9f796e2ce3164a68
2020,Lifetime general-season deer draw results,https://wildlife.utah.gov/pdf/bg/2020/20_lifetime_deer.pdf,20_lifetime_deer.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2020__20_lifetime_deer.pdf,200,application/pdf,1354217,e21172f8e14bf73fea1907a0af99f8cb8b3e8a27926f7a1814cef838b4f17a08
2020,Youth draw-only elk bonus point draw results,https://wildlife.utah.gov/pdf/bg/2020/20_youth_bull_elk.pdf,20_youth_bull_elk.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2020__20_youth_bull_elk.pdf,200,application/pdf,91787,2a7590e1caab9640764a26e9af2f71cc0519d71c98889352713af98b08ce0367
2020,Youth general-season deer draw results,https://wildlife.utah.gov/pdf/bg/2020/20_youth_deer.pdf,20_youth_deer.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2020__20_youth_deer.pdf,200,application/pdf,1341859,ceac587ed5dd11fc547e98c6ed3f68692cfa4f04e911eed3362fb548eded769b
2020,Big game limited-entry & once-in-a-lifetime draw results,https://wildlife.utah.gov/pdf/bg/2020/20_bg-odds.pdf,20_bg-odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2020__20_bg-odds.pdf,200,application/pdf,10158873,707d2e7f874e784dcc9076cafc61e339317eed4ae86466cb8516cc0eeabbeaef
2020,Antlerless big game draw results,https://wildlife.utah.gov/pdf/bg/2020/20_antlerless_drawing_odds_report.pdf,20_antlerless_drawing_odds_report.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2020__20_antlerless_drawing_odds_report.pdf,200,application/pdf,2961988,2efb7b6dcb5c2ef996feddf442ea7f2ba15f42b168c85e371843512564dc7d04
2020,Youth antlerless big game draw results,https://wildlife.utah.gov/pdf/bg/2020/20_youth_antlerless_drawing_odds_report.pdf,20_youth_antlerless_drawing_odds_report.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2020__20_youth_antlerless_drawing_odds_report.pdf,200,application/pdf,2710371,f88f0b41e96cfcbf758a8661eaa65847e844202f8097a63ca061b40c0bc4c6a2
2020,Dedicated Hunter deer draw results,https://wildlife.utah.gov/pdf/bg/2020/20_dh_odds.pdf,20_dh_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\truth_document_audit\live_dwr_biggame_odds_refresh_20260618_163842\downloads\2020__20_dh_odds.pdf,200,application/pdf,493484,a4467e998c6baa97722784dd1fdbc9e5e82dbec2ea972ccb37397e9460142771
