year,model_year,hunt_code,hunt_name,species,hunt_type,draw_design,residency,applicants_total,bonus_permits,regular_permits,permits_total,success_ratio,success_rate,record_type,source_file,source_scope,source_pdf_page
2021,2022,DB1038,"Limited-entry Muzzleloader Buck Deer - South Slope, Diamond Mtn - Muzzleloader",DEER,L.E.,BONUS_POINT,Resident,332,8,8,16,1 in 20.8,4.80769231,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,38
2021,2022,DB1038,"Limited-entry Muzzleloader Buck Deer - South Slope, Diamond Mtn - Muzzleloader",DEER,L.E.,BONUS_POINT,Nonresident,84,1,1,2,1 in 42.0,2.38095238,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,38
2021,2022,DB1039,"Limited-entry Muzzleloader Buck Deer - South Slope, Yellowstone - Muzzleloader",DEER,L.E.,BONUS_POINT,Resident,71,3,3,6,1 in 11.8,8.47457627,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,39
2021,2022,DB1039,"Limited-entry Muzzleloader Buck Deer - South Slope, Yellowstone - Muzzleloader",DEER,L.E.,BONUS_POINT,Nonresident,10,0,1,1,1 in 10.0,10,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,39
2021,2022,DB1040,Limited-entry Muzzleloader Buck Deer - Southwest Desert - Muzzleloader,DEER,L.E.,BONUS_POINT,Resident,91,2,2,4,1 in 22.8,4.38596491,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,40
2021,2022,DB1040,Limited-entry Muzzleloader Buck Deer - Southwest Desert - Muzzleloader,DEER,L.E.,BONUS_POINT,Nonresident,41,0,1,1,1 in 41.0,2.43902439,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,40
2021,2022,DB1041,"Limited-entry Muzzleloader Buck Deer - Wasatch Mtns, East - Muzzleloader",DEER,L.E.,BONUS_POINT,Resident,245,10,9,19,1 in 12.9,7.75193798,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,41
2021,2022,DB1041,"Limited-entry Muzzleloader Buck Deer - Wasatch Mtns, East - Muzzleloader",DEER,L.E.,BONUS_POINT,Nonresident,22,1,1,2,1 in 11.0,9.09090909,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,41
2021,2022,DB1042,"Limited-entry Muzzleloader Buck Deer - West Desert, Vernon - Muzzleloader",DEER,L.E.,BONUS_POINT,Resident,650,20,20,40,1 in 16.3,6.13496933,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,42
2021,2022,DB1042,"Limited-entry Muzzleloader Buck Deer - West Desert, Vernon - Muzzleloader",DEER,L.E.,BONUS_POINT,Nonresident,144,2,2,4,1 in 36.0,2.77777778,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,42
2021,2022,DB1043,Limited-entry Muzzleloader Buck Deer - Zion - Muzzleloader,DEER,L.E.,BONUS_POINT,Resident,146,7,7,14,1 in 10.4,9.61538462,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,43
2021,2022,DB1043,Limited-entry Muzzleloader Buck Deer - Zion - Muzzleloader,DEER,L.E.,BONUS_POINT,Nonresident,58,0,1,1,1 in 58.0,1.72413793,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,43
2021,2022,DB1044,Multi-season Limited-entry Buck Deer - Book Cliffs - Any Legal Weapon,DEER,L.E.,BONUS_POINT,Resident,259,4,3,7,1 in 37.0,2.7027027,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,44
2021,2022,DB1044,Multi-season Limited-entry Buck Deer - Book Cliffs - Any Legal Weapon,DEER,L.E.,BONUS_POINT,Nonresident,101,0,1,1,1 in 101.0,0.99009901,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,44
2021,2022,DB1045,"Multi-season Limited-entry Buck Deer - Fillmore, Oak Creek Le - Any Legal Weapon",DEER,L.E.,BONUS_POINT,Resident,228,0,1,1,1 in 228.0,0.43859649,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,45
2021,2022,DB1045,"Multi-season Limited-entry Buck Deer - Fillmore, Oak Creek Le - Any Legal Weapon",DEER,L.E.,BONUS_POINT,Nonresident,0,0,0,0,N/A,,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,45
2021,2022,DB1046,"Multi-season Limited-entry Buck Deer - San Juan, Elk Ridge - Any Legal Weapon",ELK,L.E.,BONUS_POINT,Resident,92,1,1,2,1 in 46.0,2.17391304,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,46
2021,2022,DB1046,"Multi-season Limited-entry Buck Deer - San Juan, Elk Ridge - Any Legal Weapon",ELK,L.E.,BONUS_POINT,Nonresident,0,0,0,0,N/A,,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,46
2021,2022,DB1047,"Multi-season Limited-entry Buck Deer - South Slope, Diamond Mtn - Any Legal Weapon",DEER,L.E.,BONUS_POINT,Resident,130,2,1,3,1 in 43.3,2.30946882,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,47
2021,2022,DB1047,"Multi-season Limited-entry Buck Deer - South Slope, Diamond Mtn - Any Legal Weapon",DEER,L.E.,BONUS_POINT,Nonresident,0,0,0,0,N/A,,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,47
2021,2022,DB1048,"Multi-season Limited-entry Buck Deer - West Desert, Vernon - Any Legal Weapon",DEER,L.E.,BONUS_POINT,Resident,256,3,3,6,1 in 42.7,2.34192037,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,48
2021,2022,DB1048,"Multi-season Limited-entry Buck Deer - West Desert, Vernon - Any Legal Weapon",DEER,L.E.,BONUS_POINT,Nonresident,78,0,1,1,1 in 78.0,1.28205128,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,48
2021,2022,DB1053,Limited-entry Muzzleloader Buck Deer - Mt Dutton - Muzzleloader,DEER,L.E.,BONUS_POINT,Resident,25,2,2,4,1 in 6.3,15.87301587,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,49
2021,2022,DB1053,Limited-entry Muzzleloader Buck Deer - Mt Dutton - Muzzleloader,DEER,L.E.,BONUS_POINT,Nonresident,15,0,1,1,1 in 15.0,6.66666667,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,49
2021,2022,DB1054,Limited-entry Muzzleloader Buck Deer - Ogden - Muzzleloader,DEER,L.E.,BONUS_POINT,Resident,52,6,5,11,1 in 4.7,21.27659574,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,50
2021,2022,DB1054,Limited-entry Muzzleloader Buck Deer - Ogden - Muzzleloader,DEER,L.E.,BONUS_POINT,Nonresident,4,0,1,1,1 in 4.0,25,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,50
2021,2022,DB1055,"Limited-entry Muzzleloader Buck Deer - Plateau, Fishlake - Muzzleloader",DEER,L.E.,BONUS_POINT,Resident,43,2,2,4,1 in 10.8,9.25925926,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,51
2021,2022,DB1055,"Limited-entry Muzzleloader Buck Deer - Plateau, Fishlake - Muzzleloader",DEER,L.E.,BONUS_POINT,Nonresident,5,0,1,1,1 in 5.0,20,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,51
2021,2022,DB1058,"Management Alw (rifle) Cactus Buck Deer - Paunsaugunt, Cactus Buck - Any Legal Weapon",DEER,L.E.,BONUS_POINT,Resident,122,14,13,27,1 in 4.5,22.22222222,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,52
2021,2022,DB1058,"Management Alw (rifle) Cactus Buck Deer - Paunsaugunt, Cactus Buck - Any Legal Weapon",DEER,L.E.,BONUS_POINT,Nonresident,43,2,1,3,1 in 14.3,6.99300699,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,52
