year,model_year,hunt_code,hunt_name,species,hunt_type,draw_design,residency,point_level,applicants,bonus_permits,regular_permits,permits,success_ratio,success_rate,record_type,source_file,source_scope,source_pdf_page,point_label
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,2,24,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,2,66,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,1,49,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,1,62,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,0,35,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,0,75,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,28,0,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,28,0,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,27,0,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,27,0,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,26,0,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,26,0,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,25,0,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,25,0,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,24,0,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,24,1,1,0,1,1 in 1.0,100,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,23,0,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,23,1,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,22,0,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,22,3,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,21,0,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,21,5,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,20,0,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,20,9,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,19,1,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,19,11,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,18,11,11,0,11,1 in 1.0,100,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,18,6,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
