"source","year","title","status","bytes","file","url","error"
"utah_wildlife_biggame_odds_archive","2020","General-season buck deer draw results","ok","1368790","older_years_biggame_odds/2020/20_deer_odds.pdf","https://wildlife.utah.gov/pdf/bg/2020/20_deer_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2020","Lifetime general-season deer draw results","ok","1354217","older_years_biggame_odds/2020/20_lifetime_deer.pdf","https://wildlife.utah.gov/pdf/bg/2020/20_lifetime_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2020","Youth draw-only elk bonus point draw results","ok","91787","older_years_biggame_odds/2020/20_youth_bull_elk.pdf","https://wildlife.utah.gov/pdf/bg/2020/20_youth_bull_elk.pdf",""
"utah_wildlife_biggame_odds_archive","2020","Youth general-season deer draw results","ok","1341859","older_years_biggame_odds/2020/20_youth_deer.pdf","https://wildlife.utah.gov/pdf/bg/2020/20_youth_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2020","Big game limited-entry & once-in-a-lifetime draw results","ok","10158873","older_years_biggame_odds/2020/20_bg-odds.pdf","https://wildlife.utah.gov/pdf/bg/2020/20_bg-odds.pdf",""
"utah_wildlife_biggame_odds_archive","2020","Antlerless big game draw results","ok","2961988","older_years_biggame_odds/2020/20_antlerless_drawing_odds_report.pdf","https://wildlife.utah.gov/pdf/bg/2020/20_antlerless_drawing_odds_report.pdf",""
"utah_wildlife_biggame_odds_archive","2020","Youth antlerless big game draw results","ok","2710371","older_years_biggame_odds/2020/20_youth_antlerless_drawing_odds_report.pdf","https://wildlife.utah.gov/pdf/bg/2020/20_youth_antlerless_drawing_odds_report.pdf",""
"utah_wildlife_biggame_odds_archive","2020","Youth draw-only elk bonus point draw results","ok","91787","older_years_biggame_odds/2020/20_youth_bull_elk__dup2.pdf","https://wildlife.utah.gov/pdf/bg/2020/20_youth_bull_elk.pdf",""
"utah_wildlife_biggame_odds_archive","2020","Dedicated Hunter deer draw results","ok","493484","older_years_biggame_odds/2020/20_dh_odds.pdf","https://wildlife.utah.gov/pdf/bg/2020/20_dh_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2020","Youth Dedicated Hunter deer draw results","ok","396792","older_years_biggame_odds/2020/20_youth_dh_odds.pdf","https://wildlife.utah.gov/pdf/bg/2020/20_youth_dh_odds.pdf",""
