hunt_code,hunt_line,parsed_unit,parsed_unit_norm,source_pdf,pdf_page
DB1575,Hunt: DB1575 Oquirrh-stansbury - Muzzleloader Page 73,Oquirrh-stansbury,oquirrh stansbury,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,73
DB1576,Hunt: DB1576 Panguitch Lake - Muzzleloader Page 74,Panguitch Lake,panguitch lake,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,74
DB1577,Hunt: DB1577 Pine Valley - Muzzleloader Page 75,Pine Valley,pine valley,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,75
DB1578,"Hunt: DB1578 Plateau, Boulder/kaiparowits - Muzzleloader Page 76","Plateau, Boulder/kaiparowits",plateau boulder kaiparowits,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,76
DB1579,"Hunt: DB1579 Plateau, Fishlake - Muzzleloader Page 77","Plateau, Fishlake",plateau fishlake,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,77
DB1580,"Hunt: DB1580 Plateau, Thousand Lakes - Muzzleloader Page 78","Plateau, Thousand Lakes",plateau thousand lakes,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,78
DB1581,"Hunt: DB1581 San Juan, Abajo Mtns - Muzzleloader Page 79","San Juan, Abajo Mtns",san juan abajo mtns,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,79
DB1582,"Hunt: DB1582 South Slope, Bonanza/vernal - Muzzleloader Page 80","South Slope, Bonanza/vernal",south slope bonanza vernal,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,80
DB1583,"Hunt: DB1583 South Slope, Yellowstone - Muzzleloader Page 81","South Slope, Yellowstone",south slope yellowstone,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,81
DB1584,Hunt: DB1584 Southwest Desert - Muzzleloader Page 82,Southwest Desert,southwest desert,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,82
DB1585,"Hunt: DB1585 Wasatch Mtns, East - Muzzleloader Page 83","Wasatch Mtns, East",wasatch mtns east,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,83
