hunt_code,prefix,source_count,sources
DB1019,DB,4,2026 DEER BUCK L.E ANY LEGAL WEAPON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1020,DB,4,2026 DEER BUCK L.E ANY LEGAL WEAPON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1022,DB,4,2026 DEER BUCK L.E ANY LEGAL WEAPON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1023,DB,4,2026 DEER BUCK L.E ANY LEGAL WEAPON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1024,DB,4,2026 DEER BUCK L.E ANY LEGAL WEAPON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1025,DB,5,2025-27 Conservation Permits.xlsx; 2026 DEER BUCK L.E MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1026,DB,4,2026 DEER BUCK L.E MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1028,DB,4,2026 DEER BUCK L.E MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1029,DB,4,2026 DEER BUCK L.E MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1030,DB,4,2026 DEER BUCK L.E MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1031,DB,4,2026 DEER BUCK L.E MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1032,DB,4,2026 DEER BUCK L.E MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1033,DB,4,2026 DEER BUCK L.E MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1034,DB,4,2026 DEER BUCK L.E MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1036,DB,1,MASTER.xlsx
DB1037,DB,5,2025-27 Conservation Permits.xlsx; 2026 DEER BUCK L.E MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1038,DB,4,2026 DEER BUCK L.E MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1039,DB,4,2026 DEER BUCK L.E MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1040,DB,4,2026 DEER BUCK L.E MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1041,DB,4,2026 DEER BUCK L.E MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1042,DB,5,2025-27 Conservation Permits.xlsx; 2026 DEER BUCK L.E MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1043,DB,4,2026 DEER BUCK L.E MUZZLELOADER.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
DB1044,DB,5,2025-27 Conservation Permits.xlsx; 2026 DEER BUCK L.E MULTISEASON.xlsx; 2026_DEER_BUCK_DRAW.xlsx; 2026_DEER_BUCK_LIMITED_ENTRY.xlsx; MASTER.xlsx
