source_file,source_sheet,hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,hunt_class,harvest_success_prior_year_pct,average_harvest_age,current_age_3yr_avg,avg_days_hunted_prior_year
2026_DEER_BUCK_DRAW.xlsx,Sheet,"West Desert, Vernon",DB1048,Buck,Deer,Multiseason,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",7,1,8,MAX / RANDOM DRAW,77.8,,,11
2026_DEER_BUCK_DRAW.xlsx,Sheet,Mt Dutton,DB1053,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,4,1,5,MAX / RANDOM DRAW,80,,,6.5
2026_DEER_BUCK_DRAW.xlsx,Sheet,Ogden,DB1054,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,13,1,14,MAX / RANDOM DRAW,54.5,,,6.8
2026_DEER_BUCK_DRAW.xlsx,Sheet,Fishlake,DB1055,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,6,1,7,MAX / RANDOM DRAW,66.7,,,5
2026_DEER_BUCK_DRAW.xlsx,Sheet,Book Cliffs (North & South),DB1056,Buck,Deer,Any Legal Weapon,Conservation,"Oct 17, 2026 - Oct 25, 2026",,,,MAX / RANDOM DRAW,50,,,3
2026_DEER_BUCK_DRAW.xlsx,Sheet,Paunsaugunt,DB1058,Buck,Deer,Any Legal Weapon,Cactus Buck,Nov 02 2026 - Nov 20 2026,18,2,20,MAX / RANDOM DRAW,37,5.3,,8.3
2026_DEER_BUCK_DRAW.xlsx,Sheet,North Slope,DB1065,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,14,2,16,MAX / RANDOM DRAW,80,,,5.8
2026_DEER_BUCK_DRAW.xlsx,Sheet,Paunsaugunt,DB1073,Buck,Deer,Archery,Management Buck Deer,Aug 15 2026 - Sept 11 2026,10,1,11,MAX / RANDOM DRAW,88.9,5.3,,7.2
2026_DEER_BUCK_DRAW.xlsx,Sheet,Paunsaugunt,DB1074,Buck,Deer,Muzzleloader,Management Buck Deer,Sept 23 2026 - Oct 01 2026,10,1,11,MAX / RANDOM DRAW,55.6,5.3,,6.3
2026_DEER_BUCK_DRAW.xlsx,Sheet,Book Cliffs (North & South),DB1075,Buck,Deer,Archery,Conservation,Aug 16 2025 - Sept 12 2025,,,,MAX / RANDOM DRAW,,,,
2026_DEER_BUCK_DRAW.xlsx,Sheet,Book Cliffs (North & South),DB1076,Buck,Deer,Muzzleloader,Conservation,Sept 24 2025 - Oct 02 2025,,,,MAX / RANDOM DRAW,,,,
2026_DEER_BUCK_DRAW.xlsx,Sheet,Box Elder,DB1077,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,23,3,26,MAX / RANDOM DRAW,56.5,,,4.7
2026_DEER_BUCK_DRAW.xlsx,Sheet,Cache,DB1078,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,11,1,12,MAX / RANDOM DRAW,80,,,5.7
2026_DEER_BUCK_DRAW.xlsx,Sheet,Manti/San Rafael,DB1079,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,40,5,45,MAX / RANDOM DRAW,82.5,,,5.5
2026_DEER_BUCK_DRAW.xlsx,Sheet,Nebo,DB1080,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,23,3,26,MAX / RANDOM DRAW,77.8,,,4.8
2026_DEER_BUCK_DRAW.xlsx,Sheet,La Sal Mtns,DB1081,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,8,1,9,MAX / RANDOM DRAW,55.6,,,5.9
2026_DEER_BUCK_DRAW.xlsx,Sheet,Panguitch Lake,DB1083,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,12,1,13,MAX / RANDOM DRAW,45.5,,,6.7
2026_DEER_BUCK_DRAW.xlsx,Sheet,Boulder/Kaiparowits,DB1084,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,12,1,13,MAX / RANDOM DRAW,66.7,,,5
2026_DEER_BUCK_DRAW.xlsx,Sheet,"San Juan, Abajo Mtns",DB1085,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,13,1,14,MAX / RANDOM DRAW,66.7,,,6.4
2026_DEER_BUCK_DRAW.xlsx,Sheet,Vernal/Bonanza,DB1086,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,6,1,7,MAX / RANDOM DRAW,80,,,3.3
2026_DEER_BUCK_DRAW.xlsx,Sheet,"Wasatch Mtns, West",DB1087,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,36,4,40,MAX / RANDOM DRAW,66.7,,,5
2026_DEER_BUCK_DRAW.xlsx,Sheet,"Book Cliffs, Floy Canyon",DB1090,Buck,Deer,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry,Nov 07 2026 - Nov 30 2026,6,1,7,MAX / RANDOM DRAW,100,,,6
2026_DEER_BUCK_DRAW.xlsx,Sheet,Kaiparowits HAMSS,DB1091,Buck,Deer,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry,Nov 07 2026 - Nov 30 2026,4,1,5,MAX / RANDOM DRAW,60,,,10
2026_DEER_BUCK_DRAW.xlsx,Sheet,Chalk Creek,DB1100,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,10,1,11,MAX / RANDOM DRAW,81.8,,,3.8
