source_file,source_sheet,hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,hunt_class,harvest_success_prior_year_pct,average_harvest_age,current_age_3yr_avg,avg_days_hunted_prior_year
2026_ELK_BULL_ALL.xlsx,Sheet,Wasatch Mtns,EB3127,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,155,17,172,MAX / RANDOM DRAW,68.7,5.2,5.3,6
2026_ELK_BULL_ALL.xlsx,Sheet,Box Elder Grouse Creek,EB3128,Bull,Elk,Multiseason,Conservation,"Any Legal Weapon: Sept 16-20, 2026 & Oct 3 - 15, 2026 | Muzz: Sept 21-Oct 2, 2026",,,,MAX / RANDOM DRAW,100,5.3,5.3,10
2026_ELK_BULL_ALL.xlsx,Sheet,Box Elder Pilot Mtn,EB3130,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 06 2026,2,0,2,MAX / RANDOM DRAW,0,6.5,6.9,13.7
2026_ELK_BULL_ALL.xlsx,Sheet,Cache North,EB3132,Bull,Elk,Archery,Limited Entry,Sept 01 2026 - Sept 30 2026,22,2,24,MAX / RANDOM DRAW,37.5,8.3,6.7,12.9
2026_ELK_BULL_ALL.xlsx,Sheet,Barney Top/Kaiparowits,EB3135,Bull,Elk,Archery,Limited Entry,Sept 01 2026 - Sept 30 2026,9,1,10,MAX / RANDOM DRAW,22.2,9.4,7.8,16.8
2026_ELK_BULL_ALL.xlsx,Sheet,Southwest Desert North,EB3136,Bull,Elk,Archery,Limited Entry,Sept 01 2026 - Sept 30 2026,21,2,23,MAX / RANDOM DRAW,42.1,9.5,8.4,12.9
2026_ELK_BULL_ALL.xlsx,Sheet,West Desert Deep Creek,EB3137,Bull,Elk,Archery,Limited Entry,Sept 01 2026 - Sept 30 2026,13,2,15,MAX / RANDOM DRAW,61.5,8.2,7.3,10.9
2026_ELK_BULL_ALL.xlsx,Sheet,Cache North,EB3139,Bull,Elk,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry,Nov 07 2026 - Nov 30 2026,22,2,24,MAX / RANDOM DRAW,59.3,8.3,6.7,7.8
2026_ELK_BULL_ALL.xlsx,Sheet,Barney Top/Kaiparowits,EB3142,Bull,Elk,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry,Nov 07 2026 - Nov 30 2026,9,1,10,MAX / RANDOM DRAW,55.6,9.4,7.8,8.7
2026_ELK_BULL_ALL.xlsx,Sheet,Southwest Desert North,EB3143,Bull,Elk,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry,Nov 07 2026 - Nov 30 2026,21,2,23,MAX / RANDOM DRAW,72.2,9.5,8.4,9.5
2026_ELK_BULL_ALL.xlsx,Sheet,West Desert Deep Creek,EB3144,Bull,Elk,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry,Nov 07 2026 - Nov 30 2026,13,2,15,MAX / RANDOM DRAW,78.6,8.2,7.3,8.2
2026_ELK_BULL_ALL.xlsx,Sheet,Boulder,EB3145,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,31,4,35,MAX / RANDOM DRAW,50,7.4,8.1,14.2
2026_ELK_BULL_ALL.xlsx,Sheet,Southwest Desert South,EB3146,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,39,4,43,MAX / RANDOM DRAW,44.2,8.4,8.3,12.7
2026_ELK_BULL_ALL.xlsx,Sheet,Box Elder Grouse Creek,EB3147,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,6,1,7,MAX / RANDOM DRAW,85.7,5.3,5.3,2.5
2026_ELK_BULL_ALL.xlsx,Sheet,Boulder,EB3148,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,13,1,14,MAX / RANDOM DRAW,92.9,7.4,8.1,2.4
2026_ELK_BULL_ALL.xlsx,Sheet,Southwest Desert South,EB3149,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,16,2,18,MAX / RANDOM DRAW,83.3,8.4,8.3,3.3
